Port_IDs,ROI,PnL,Sharpe Ratio,MDD,Win Rate,Win Positions,Total Positions,Composite Score
4020204877254599680,0.7334464880787458,83347.1534624,0.06074803361484551,1.106558983832616,32.94214876033058,1993.0,6050.0,20840.29878018161
3999240873283311617,1.141374272378565,44446.918627420004,0.2275053343074535,0.9970248803887597,52.32198142414861,2366.0,4522.0,11117.350214613933
4021669203289716224,0.8593391022207466,27963.77451069,0.06825074237072311,0.9984581806717081,31.391200951248514,528.0,1682.0,6994.354430919664
3960874214179953664,0.5051649298124431,21527.02313651,0.16294781502532496,1.0578432993116356,51.568381430363864,1233.0,2391.0,5387.088084817588
4028701921959171840,0.8962201345936838,19753.1623331,0.2757238783298298,1.0,54.29403202328966,373.0,687.0,4944.043997293374
3907081197088384000,2.267194303940923,18638.536458799997,0.22272929259109017,1.0,61.39714769156394,2540.0,4137.0,4666.498533618856
3956076827719377409,2.091123572836268,17430.47953172,0.09952801745500056,1.0,51.55771195097037,2019.0,3916.0,4363.422896800439
3986814617275053313,1.751192201466791,16969.21098864,0.3297865686167909,1.0,78.22172200337648,2780.0,3554.0,4250.716234334501
4022565861939831809,0.5574667136192988,16866.053764880002,0.29960236775732035,1.0,52.76595744680851,372.0,705.0,4222.017197452319
3788465932399412480,1.7397625228609885,14687.7974938,0.15291214877946058,0.9982321109303856,44.607363962202676,1369.0,3069.0,3676.9628862161953
3987739404272887297,1.2135422019394515,13545.62203443,0.04988250241110754,1.0,22.826446280991735,1381.0,6050.0,3389.0621923966632
4031493134338259457,0.3321239765118669,13002.061261570003,0.15611399339634244,0.9964598656708681,36.156696664902064,683.0,1889.0,3254.2623760707734
3962024093501274881,0.37454701552423664,12122.18647426,0.07406717883080462,1.012465130707581,26.472898664571876,337.0,1273.0,3033.3192162022747
4008711265867865600,0.6618650511378152,12093.10883799,0.26628959227457993,0.998655709824113,42.13197969543147,166.0,394.0,3027.742426544366
3931992636670880512,1.1992721218088618,11175.52229456,0.050796275472000454,1.0,40.16528925619834,2430.0,6050.0,2798.267043457257
3936410995029308417,6.0539725436242,10857.799756990002,0.2989837004791926,1.0,30.0,6.0,20.0,2719.3259277506836
3939318616482048768,2.0293662078262047,10234.23635432,0.2038294609803745,1.0,37.46031746031746,118.0,315.0,2562.9546960805756
3998572645139652353,0.9992242971740678,10203.61384917,0.2622908622566463,0.9908679813638793,35.714285714285715,95.0,266.0,2554.8284861283278
4037121179310444801,0.35483197302127484,9887.64291964,0.10910167793369134,0.9956431345945727,48.40125391849529,772.0,1595.0,2476.8797787591534
4017263283405469185,0.2989519628727563,9432.10021783,0.03009011791807703,1.2774065544555508,33.6198347107438,2034.0,6050.0,2361.4411305578515
